,asymmetry_index,v_u_kurtosis,egress_slope,koi_disposition,koi_period,koi_time0,koi_duration,koi_depth,koi_model_snr,koi_steff_x,koi_srad_x,kepid,loc_rowid,kepoi_name,koi_prad,koi_teq,koi_dor,koi_steff_y,koi_srad_y,koi_smass
0,0.2021382184139636,2.6867345507782088,0.0007152607022607,1,9.48803557,2455003.539,2.9575,615.8,35.8,5455.0,0.927,10797460,1,K00752.01,2.26,793.0,24.81,5455.0,0.927,0.919
1,0.8582623064551309,1.6447837903946332,,0,1.736952453,2455003.308,2.40641,8079.2,505.6,5805.0,0.791,10848459,4,K00754.01,33.46,1395.0,3.278,5805.0,0.791,0.836
2,0.0660676388902675,2.370115747549324,-0.0005827634480477,1,2.525591777,2455004.596,1.6545,603.3,40.9,6031.0,1.046,10854555,5,K00755.01,2.75,1406.0,8.75,6031.0,1.046,1.095
4,0.3450749911617335,2.8518403973323565,0.0003727239403875,0,7.36178958,2454965.251,5.022,233.7,47.7,6227.0,1.958,6721123,9,K00114.01,39.21,1342.0,2.4,6227.0,1.958,1.358
6,0.1135499186808306,2.249447012815887,0.0003484975591749,1,2.470613377,2454955.763,1.74319,14231.0,4304.3,5820.0,0.964,11446443,11,K00001.01,13.04,1339.0,8.3977,5820.0,0.964,0.971
7,0.0133044212326133,2.014387052902485,0.0818534063195159,1,2.204735417,2454954.359,3.88864,6674.7,5945.9,6440.0,1.952,10666592,12,K00002.01,16.1,2048.0,4.602,6440.0,1.952,1.449
8,0.1555906165597718,4.482408464709618,0.0002936998173575,1,3.522498429,2454954.119,3.19843,9145.7,1741.5,6225.0,1.451,6922244,13,K00010.01,14.59,1521.0,7.541,6225.0,1.451,1.132
9,0.1937432401999013,2.886499584661734,0.0021304012688056,1,3.709214104,2454966.983,2.6302,131.1,50.6,5833.0,1.022,10984090,14,K00112.02,1.16,1206.0,10.888,5833.0,1.022,0.974
10,0.3805303239374794,2.9284152449452567,0.0124817380157521,0,11.521446064,2455003.84,3.6399,17984.0,622.1,5795.0,0.848,10419211,15,K00742.01,150.51,753.0,20.75,5795.0,0.848,0.938
11,0.4877705496013959,2.051359275397835,0.0147686303528243,0,19.40393776,2455005.484,12.2155,8918.7,214.7,5043.0,0.68,10464078,16,K00743.01,7.18,523.0,9.099,5043.0,0.68,0.657
12,0.1284471340541507,2.960672854495772,0.0057186613426085,0,19.221388942,2455017.552,4.79843,74284.0,2317.0,6117.0,0.947,10480982,17,K00744.01,49.29,698.0,31.323,6117.0,0.947,1.025
13,0.0920656570309303,3.6663777837871057,0.0141563397800189,0,16.46983774,2455013.882,9.4378,10479.0,303.4,5152.0,0.786,10485250,18,K00745.01,7.94,595.0,14.05,5152.0,0.786,0.741
14,0.1671448571891305,2.28436283507399,0.0139495283706857,1,9.27358173,2455006.258,3.2875,1288.3,87.2,4856.0,0.696,10526549,19,K00746.01,2.47,649.0,20.65,4856.0,0.696,0.676
15,0.2958140555622561,2.4974210243017367,0.0197575461680107,1,6.02930329,2455004.603,1.5821,1912.7,65.4,4537.0,0.672,10583066,20,K00747.01,2.85,678.0,29.31,4537.0,0.672,0.761
16,0.1503437551517936,2.6240873735284254,0.0066609964929811,0,2.696370652,2455003.738,3.6129,397.9,48.2,4989.0,0.819,10583180,21,K00748.01,1.58,1066.0,5.827,4989.0,0.819,0.781
17,0.1364579589209846,2.413959200260793,0.0111061664734313,1,5.349553819,2455004.807,3.0278,831.0,60.6,5185.0,0.91,10601284,22,K00749.01,2.55,919.0,13.8015,5185.0,0.91,0.831
18,0.2080095234979801,3.4607168359973537,0.0004012926659739,0,386.6030528,2454999.342,6.8057,24927.0,994.0,5543.0,1.58,2306756,25,K00113.01,41.5,297.0,332.0,5543.0,1.58,1.103
19,0.1053370774400214,1.4470741388276742,-0.0004733104676304,1,21.67699193,2455004.536,3.4555,857.2,34.3,4954.0,0.828,10662202,26,K00750.01,2.95,530.0,24.6,4954.0,0.828,0.791
20,0.3278382901957619,2.672650511222737,-0.0073807027303311,1,4.99677968,2455004.742,2.1717,934.7,28.2,5339.0,0.847,10682541,27,K00751.01,2.78,917.0,13.14,5339.0,0.847,0.931
21,0.2623093544428866,4.476648824038832,0.0094370358882645,1,4.280963604,2455004.897,2.875,750.8,61.8,5644.0,0.831,11460018,28,K00769.01,2.3,1012.0,10.64,5644.0,0.831,0.928
22,0.1606166084420378,2.9393962181756,0.0199121519048175,0,1.50635409,2455003.998,1.5155,2211.7,181.1,5714.0,0.831,11463211,29,K00770.01,4.53,1452.0,4.67,5714.0,0.831,0.926
23,0.3720748605371208,2.447708974639086,-0.0007672000696111,0,670.645531,2455042.044,53.412,18091.0,642.7,5520.0,0.983,11465813,30,K00771.01,14.14,196.0,85.24,5520.0,0.983,1.03
24,0.2319312143007673,2.791563115510824,-0.0022899061065529,0,61.2563628,2455006.838,7.633,5123.3,85.3,6144.0,1.091,11493732,31,K00772.01,39.87,505.0,29.1,6144.0,1.091,1.093
25,0.4517453915084597,2.33928754192726,0.0034208833112274,1,38.3775486,2455005.82,5.588,724.2,34.7,5481.0,1.036,11507101,32,K00773.01,2.82,529.0,47.8,5481.0,1.036,0.915
26,0.0135390331534839,2.1564834789193954,0.0066231231920655,1,16.01308419,2455009.361,3.2554,1121.9,33.2,5015.0,0.826,10987985,35,K00758.01,3.1,593.0,24.7,5015.0,0.826,0.785
27,0.3809945137298161,1.7072632226763615,0.0073065672842413,1,32.62876672,2455027.102,4.7971,1804.8,80.0,5586.0,0.798,11018648,36,K00759.01,3.36,506.0,53.95,5586.0,0.798,0.844
28,0.1498237063178449,4.7383977264896,0.011278011796674,1,4.959319244,2455005.259,2.22739,9802.0,696.5,5712.0,1.082,11138155,38,K00760.01,12.21,1103.0,12.386,5712.0,1.082,0.976
29,0.2701118159824222,2.949309553198359,0.0104107289335023,0,2.701287801,2455003.696,3.3827,860.4,48.3,5550.0,0.91,11152159,39,K00761.01,6.54,1222.0,2.22,5550.0,0.91,0.889
30,0.2951211509422918,3.250421602933415,0.0065412499198911,1,4.49876511,2455004.349,3.7362,460.0,29.5,6075.0,0.969,11153539,40,K00762.01,2.1,1133.0,8.95,6075.0,0.969,1.048
31,0.6203984933688685,3.457550992939079,-0.0021092876645513,0,19.651209505,2455012.402,5.2514,11766.0,513.4,6074.0,1.063,11242721,41,K00763.01,12.42,730.0,23.98,6074.0,1.063,1.014
32,0.1536063055771661,2.3269615052093235,0.00860729331866,1,5.412203927,2454966.143,2.9472,601.6,166.7,5779.0,1.087,9579641,42,K00115.01,2.94,1093.0,9.25,5779.0,1.087,0.941
33,0.1878310004632138,3.324240524974618,0.0041333892920016,1,41.43958662,2455041.932,10.5989,2793.1,141.1,5468.0,1.046,11304958,43,K00764.01,5.5,516.0,29.47,5468.0,1.046,0.93
34,0.1822776415603657,2.2660951740555566,0.0066717222486308,1,8.35389523,2455004.633,2.2514,1041.6,43.4,5592.0,0.787,11391957,44,K00765.01,2.52,790.0,29.18,5592.0,0.787,0.862
35,0.1385397968542611,2.119106916493956,0.0203689502674493,1,4.125543472,2455002.753,3.1744,1487.3,128.6,6174.0,1.103,11403044,45,K00766.01,4.43,1243.0,8.45,6174.0,1.103,1.162
37,0.2961396448831714,3.09525354107192,-0.0003655584502574,0,33.93373447,2455019.676,14.561,8503.7,236.1,5040.0,0.705,11442465,47,K00768.01,7.34,430.0,13.12,5040.0,0.705,0.782
38,0.2994184575100381,3.090622168351966,0.0034253877628056,1,3.689920099,2455003.366,2.6557,426.7,35.6,5880.0,0.917,12110942,48,K00786.01,1.89,1147.0,10.71,5880.0,0.917,1.01
39,0.2502871179093742,2.362695033535817,0.0134873050155843,1,4.431238488,2455004.015,3.15,1010.9,71.1,5714.0,1.015,12366084,49,K00787.01,3.25,1104.0,10.19,5714.0,1.015,1.007
